"tier","scenario_family","scenario_name","layer","world","condition","task","block","model","accuracy","balanced_accuracy","f1_pos","f1_neg","macro_f1","mcc"
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","ds004504__EC","AD_FTD_vs_CN","classic_fast","sda_shrinklda",0.781875,0.769280303030303,0.83080096611584,0.68294733044733,0.756874148281585,0.533252146048493
"tier1_main","single_condition","single_condition","P1_psd_bandpower_from_derivatives","PSD_ABSOLUTE_CHANNEL_BAND","ds004504__EC","AD_FTD_vs_CN","classic_fast","sda_shrinklda",0.820917508417508,0.771365166819712,0.872894880619957,0.686734309461582,0.77981459504077,0.588675354384519
"tier1_main","single_condition","single_condition","P1_psd_bandpower_from_derivatives","PSD_REGION_ABSOLUTE","ds004504__EC","AD_FTD_vs_CN","classic_fast","ranger_rf",0.808888888888889,0.753992424242424,0.864879268019448,0.657797091797092,0.76133817990827,0.563032317878357
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","RAW_DECILES","ds004504__EC","AD_FTD_vs_CN","classic_fast","sda_shrinklda",0.767083333333333,0.74469696969697,0.820397371034563,0.654805826526415,0.737601598780489,0.495101176414368
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","ds004504__EC","AD_FTD_vs_CN","classic_fast","sda_shrinklda",0.756111111111111,0.720234848484849,0.816510286953092,0.621458721017545,0.718984503985318,0.45760541791579
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","ds006036__EO_or_photomark","AD_FTD_vs_CN","classic_fast","sda_shrinklda",0.767569444444444,0.742045454545455,0.823817338283579,0.648417471417471,0.736117404850525,0.489462043489382
"tier1_main","single_condition","single_condition","P1_psd_bandpower_from_derivatives","PSD_ABSOLUTE_CHANNEL_BAND","ds006036__EO_or_photomark","AD_FTD_vs_CN","classic_fast","sda_shrinklda",0.785486111111111,0.730666666666667,0.847464951562403,0.621681263181263,0.734573107371833,0.503088382068222
"tier1_main","single_condition","single_condition","P1_psd_bandpower_from_derivatives","PSD_REGION_ABSOLUTE","ds006036__EO_or_photomark","AD_FTD_vs_CN","classic_fast","svm_linear_liblinear",0.763194444444444,0.715409090909091,0.827905470158694,0.601864718614719,0.714885094386706,0.459368910969698
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","RAW_DECILES","ds006036__EO_or_photomark","AD_FTD_vs_CN","classic_fast","sda_shrinklda",0.755416666666667,0.717159090909091,0.818477254350023,0.614033189033189,0.716255221691606,0.450233578955787
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","ds006036__EO_or_photomark","AD_FTD_vs_CN","classic_fast","knn_euclidean",0.739097222222222,0.710060606060606,0.801089021868885,0.607040389349213,0.704064705609049,0.425432965016371
"tier2_cross_condition","cross_condition_transfer","EC_train__EO_photo_test","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","EC_train__EO_photo_test","AD_FTD_vs_CN","classic_fast","xgboost_default",0.806818181818182,0.785797779076563,0.854700854700855,0.711864406779661,0.783282630740258,0.566812247631769
"tier2_cross_condition","cross_condition_transfer","EC_train__EO_photo_test","P1_psd_bandpower_from_derivatives","PSD_REGION_ABSOLUTE","EC_train__EO_photo_test","AD_FTD_vs_CN","classic_fast","glmnet_elasticnet",0.852272727272727,0.819696084161309,0.892561983471074,0.763636363636364,0.828099173553719,0.658733573370486
"tier2_cross_condition","cross_condition_transfer","EC_train__EO_photo_test","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","EC_train__EO_photo_test","AD_FTD_vs_CN","classic_fast","sda_shrinklda",0.806818181818182,0.785797779076563,0.854700854700855,0.711864406779661,0.783282630740258,0.566812247631769
"tier2_cross_condition","cross_condition_transfer","EO_photo_train__EC_test","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","EO_photo_train__EC_test","AD_FTD_vs_CN","classic_fast","sda_shrinklda",0.863636363636364,0.836937463471654,0.9,0.785714285714286,0.842857142857143,0.686843041863588
"tier2_cross_condition","cross_condition_transfer","EO_photo_train__EC_test","P1_psd_bandpower_from_derivatives","PSD_REGION_ABSOLUTE","EO_photo_train__EC_test","AD_FTD_vs_CN","classic_fast","ranger_rf",0.852272727272727,0.810929281122151,0.894308943089431,0.754716981132076,0.824512962110753,0.656328125423033
"tier2_cross_condition","cross_condition_transfer","EO_photo_train__EC_test","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","EO_photo_train__EC_test","AD_FTD_vs_CN","classic_fast","knn_euclidean",0.863636363636364,0.863237872589129,0.894736842105263,0.806451612903226,0.850594227504244,0.705355097354874
