"tier","scenario_family","scenario_name","layer","world","condition","task","block_ktsp","model_ktsp","accuracy_ktsp","balanced_accuracy_ktsp","f1_pos_ktsp","f1_neg_ktsp","macro_f1_ktsp","mcc_ktsp","block_classic","model_classic","accuracy_classic","balanced_accuracy_classic","f1_pos_classic","f1_neg_classic","macro_f1_classic","mcc_classic","delta_accuracy","delta_balanced_accuracy","delta_f1_pos","delta_f1_neg","delta_macro_f1","delta_mcc"
"smoke","single_condition","single_condition","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","ds004504__EC","AD_vs_CN","switchBox","kTSP_CV_nondisjoint",0.813186813186813,0.813988095238095,0.822115384615385,0.801282051282051,0.811698717948718,0.62797619047619,"classic_fast","glmnet_elasticnet",0.813186813186813,0.797619047619047,0.844444444444445,0.763636363636363,0.804040404040405,0.633520891730957,0,0.016369047619048,-0.02232905982906,0.0376456876456877,0.00765831390831351,-0.00554470125476647
"smoke","single_condition","single_condition","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","ds006036__EO_or_photomark","AD_vs_CN","switchBox","kTSP_CV_disjoint",0.851648351648352,0.833333333333333,0.881944444444444,0.8,0.840972222222222,0.725189521581659,"classic_fast","ranger_rf",0.854395604395604,0.833333333333333,0.887719298245614,0.787878787878788,0.837799043062201,0.728467626492747,-0.00274725274725296,-4.44089209850063e-16,-0.0057748538011696,0.0121212121212121,0.00317317916002136,-0.00327810491108849
"smoke","single_condition","single_condition","P1_psd_bandpower_from_derivatives","PSD_REGION_ABSOLUTE","ds004504__EC","AD_vs_CN","switchBox","kTSP_CV_nondisjoint",0.928571428571428,0.9375,0.928571428571428,0.928571428571428,0.928571428571428,0.875,"classic_fast","xgboost_default",0.818681318681318,0.822916666666667,0.823809523809524,0.811688311688311,0.817748917748917,0.65612294858165,0.10989010989011,0.114583333333333,0.104761904761905,0.116883116883117,0.110822510822511,0.21887705141835
"smoke","single_condition","single_condition","P1_psd_bandpower_from_derivatives","PSD_REGION_ABSOLUTE","ds006036__EO_or_photomark","AD_vs_CN","switchBox","kTSP_CV_nondisjoint",0.78021978021978,0.78125,0.794642857142857,0.757142857142857,0.775892857142857,0.589207816578215,"classic_fast","knn_euclidean",0.739010989010989,0.729166666666667,0.788888888888889,0.634615384615385,0.711752136752136,0.518958227830732,0.041208791208791,0.052083333333333,0.00575396825396801,0.122527472527472,0.0641407203907205,0.0702495887474825
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","ds004504__EC","AD_FTD_vs_CN","switchBox","kTSP_k9_disjoint",0.770208333333333,0.742318181818182,0.817828796083891,0.654956785216847,0.736392790650369,0.516853000590882,"classic_fast","sda_shrinklda",0.781875,0.769280303030303,0.83080096611584,0.68294733044733,0.756874148281585,0.533252146048493,-0.0116666666666666,-0.0269621212121212,-0.0129721700319493,-0.0279905452304833,-0.0204813576312164,-0.0163991454576107
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","ds004504__EC","AD_vs_CN","switchBox","kTSP_k9_disjoint",0.74231684981685,0.741267857142857,0.755448724735876,0.710878649128649,0.733163686932263,0.501591021418028,"classic_fast","ranger_rf",0.790576923076923,0.789404761904762,0.806583405156934,0.76397224997225,0.785277827564592,0.590007083932147,-0.0482600732600733,-0.0481369047619048,-0.0511346804210582,-0.0530936008436008,-0.0521141406323296,-0.0884160625141187
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","ds004504__EC","AD_vs_FTD","switchBox","kTSP_CV_nondisjoint",0.575343041837887,0.592470544918999,0.580457794344999,0.545950870435406,0.563204332390203,0.189541533935888,"classic_fast","xgboost_default",0.664504662004662,0.650607142857143,0.711289950245833,0.569919913419913,0.640604931832873,0.315595162397024,-0.0891616201667748,-0.0581365979381444,-0.130832155900834,-0.023969042984507,-0.0774005994426704,-0.126053628461136
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","ds004504__EC","CN_vs_FTD","switchBox","kTSP_k9_disjoint",0.686167800453515,0.695578231292517,0.674722669620629,0.676164425144017,0.675443547382323,0.410766655069052,"classic_fast","ranger_rf",0.712881391231907,0.703092783505155,0.642054737931027,0.750448520551613,0.69625162924132,0.427990068642778,-0.0267135907783921,-0.00751455221263775,0.0326679316896021,-0.0742840954075964,-0.0208080818589971,-0.0172234135737261
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","ds006036__EO_or_photomark","AD_FTD_vs_CN","switchBox","kTSP_k9_disjoint",0.746212121212121,0.707973676155494,0.807307869341215,0.600757514750385,0.7040326920458,0.441870811178945,"classic_fast","sda_shrinklda",0.767569444444444,0.742045454545455,0.823817338283579,0.648417471417471,0.736117404850525,0.489462043489382,-0.0213573232323232,-0.0340717783899602,-0.0165094689423639,-0.0476599566670869,-0.0320847128047252,-0.0475912323104371
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","ds006036__EO_or_photomark","AD_vs_CN","switchBox","kTSP_k9_disjoint",0.762903762903763,0.74788961038961,0.803958738408499,0.679891601103722,0.741925169756111,0.547116419620059,"classic_fast","ranger_rf",0.725613553113553,0.720738095238095,0.752352177578184,0.67634965034965,0.714350913963917,0.461900611398647,0.0372902097902098,0.0271515151515151,0.0516065608303155,0.00354195075407204,0.0275742557921937,0.0852158082214118
