"tier","scenario_family","scenario_name","layer","world","condition","task","model","region","n_jobs"
"tier2_cross_condition","cross_condition_transfer","EO_photo_train__EC_test","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","EO_photo_train__EC_test","AD_FTD_vs_CN","kTSP_CV_disjoint","central",1
"tier2_cross_condition","cross_condition_transfer","EC_train__EO_photo_test","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","EC_train__EO_photo_test","AD_vs_CN","kTSP_CV_disjoint","central",2
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","ds004504__EC","CN_vs_FTD","kTSP_CV_disjoint","central",98
"tier2_cross_condition","cross_condition_transfer","EO_photo_train__EC_test","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","EO_photo_train__EC_test","CN_vs_FTD","kTSP_CV_disjoint","central",1
"tier2_cross_condition","cross_condition_transfer","EO_photo_train__EC_test","P1_psd_bandpower_from_derivatives","PSD_REGION_ABSOLUTE","EO_photo_train__EC_test","AD_FTD_vs_CN","kTSP_CV_nondisjoint","central",1
"smoke","single_condition","single_condition","P1_psd_bandpower_from_derivatives","PSD_REGION_ABSOLUTE","ds004504__EC","AD_vs_CN","kTSP_CV_nondisjoint","central",1
"smoke","single_condition","single_condition","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","ds004504__EC","AD_vs_CN","kTSP_CV_nondisjoint","central",2
"smoke","single_condition","single_condition","P1_psd_bandpower_from_derivatives","PSD_REGION_ABSOLUTE","ds006036__EO_or_photomark","AD_vs_CN","kTSP_CV_nondisjoint","central",2
"tier2_cross_condition","cross_condition_transfer","EO_photo_train__EC_test","P1_psd_bandpower_from_derivatives","PSD_REGION_ABSOLUTE","EO_photo_train__EC_test","AD_vs_CN","kTSP_CV_nondisjoint","central",2
"tier2_cross_condition","cross_condition_transfer","EC_train__EO_photo_test","P1_psd_bandpower_from_derivatives","PSD_REGION_ABSOLUTE","EC_train__EO_photo_test","AD_vs_FTD","kTSP_CV_nondisjoint","central",1
"tier2_cross_condition","cross_condition_transfer","EC_train__EO_photo_test","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","EC_train__EO_photo_test","CN_vs_FTD","kTSP_CV_nondisjoint","central",1
"tier2_cross_condition","cross_condition_transfer","EO_photo_train__EC_test","P1_psd_bandpower_from_derivatives","PSD_REGION_ABSOLUTE","EO_photo_train__EC_test","CN_vs_FTD","kTSP_CV_nondisjoint","central",1
"tier1_main","single_condition","single_condition","P1_psd_bandpower_from_derivatives","PSD_REGION_ABSOLUTE","ds006036__EO_or_photomark","AD_vs_FTD","kTSP_k3_nondisjoint","central",1
"tier4_pooled","pooled_condition","POOLED_EC_EO_subject_grouped","P1_psd_bandpower_from_derivatives","PSD_REGION_ABSOLUTE","POOLED_EC_EO_subject_grouped","AD_FTD_vs_CN","kTSP_k5_disjoint","central",16
"tier1_main","single_condition","single_condition","P1_psd_bandpower_from_derivatives","PSD_REGION_ABSOLUTE","ds004504__EC","AD_vs_CN","kTSP_k5_disjoint","central",40
"tier4_pooled","pooled_condition","POOLED_EC_EO_subject_grouped","P1_psd_bandpower_from_derivatives","PSD_REGION_ABSOLUTE","POOLED_EC_EO_subject_grouped","AD_vs_CN","kTSP_k5_disjoint","central",69
"tier4_pooled","pooled_condition","POOLED_EC_EO_subject_grouped","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","POOLED_EC_EO_subject_grouped","CN_vs_FTD","kTSP_k5_disjoint","central",97
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","ds004504__EC","AD_vs_CN","kTSP_k5_nondisjoint","central",37
"tier4_pooled","pooled_condition","POOLED_EC_EO_subject_grouped","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","POOLED_EC_EO_subject_grouped","AD_vs_FTD","kTSP_k5_nondisjoint","central",7
"tier1_main","single_condition","single_condition","P1_psd_bandpower_from_derivatives","PSD_REGION_ABSOLUTE","ds004504__EC","CN_vs_FTD","kTSP_k5_nondisjoint","central",79
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","ds004504__EC","AD_FTD_vs_CN","kTSP_k9_disjoint","central",22
"tier1_main","single_condition","single_condition","P1_psd_bandpower_from_derivatives","PSD_REGION_ABSOLUTE","ds006036__EO_or_photomark","AD_FTD_vs_CN","kTSP_k9_disjoint","central",31
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","ds006036__EO_or_photomark","AD_FTD_vs_CN","kTSP_k9_disjoint","central",67
"tier4_pooled","pooled_condition","POOLED_EC_EO_subject_grouped","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","POOLED_EC_EO_subject_grouped","AD_FTD_vs_CN","kTSP_k9_disjoint","central",49
"tier1_main","single_condition","single_condition","P1_psd_bandpower_from_derivatives","PSD_REGION_ABSOLUTE","ds006036__EO_or_photomark","AD_vs_CN","kTSP_k9_disjoint","central",78
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","ds006036__EO_or_photomark","AD_vs_CN","kTSP_k9_disjoint","central",41
"tier4_pooled","pooled_condition","POOLED_EC_EO_subject_grouped","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","POOLED_EC_EO_subject_grouped","AD_vs_CN","kTSP_k9_disjoint","central",17
"tier1_main","single_condition","single_condition","P1_psd_bandpower_from_derivatives","PSD_REGION_ABSOLUTE","ds004504__EC","AD_vs_FTD","kTSP_k9_disjoint","central",92
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","ds004504__EC","AD_vs_FTD","kTSP_k9_disjoint","central",56
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","ds006036__EO_or_photomark","AD_vs_FTD","kTSP_k9_disjoint","central",51
"tier1_main","single_condition","single_condition","P1_psd_bandpower_from_derivatives","PSD_REGION_ABSOLUTE","ds004504__EC","AD_FTD_vs_CN","kTSP_k9_nondisjoint","central",77
"tier4_pooled","pooled_condition","POOLED_EC_EO_subject_grouped","P1_psd_bandpower_from_derivatives","PSD_REGION_ABSOLUTE","POOLED_EC_EO_subject_grouped","AD_vs_FTD","kTSP_k9_nondisjoint","central",53
"tier1_main","single_condition","single_condition","P1_psd_bandpower_from_derivatives","PSD_REGION_ABSOLUTE","ds006036__EO_or_photomark","CN_vs_FTD","kTSP_k9_nondisjoint","central",96
"tier2_cross_condition","cross_condition_transfer","EC_train__EO_photo_test","P1_psd_bandpower_from_derivatives","PSD_REGION_ABSOLUTE","EC_train__EO_photo_test","CN_vs_FTD","kTSP_k9_nondisjoint","central",1
"tier4_pooled","pooled_condition","POOLED_EC_EO_subject_grouped","P1_psd_bandpower_from_derivatives","PSD_REGION_ABSOLUTE","POOLED_EC_EO_subject_grouped","CN_vs_FTD","kTSP_k9_nondisjoint","central",98
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","ds006036__EO_or_photomark","CN_vs_FTD","TSP_k1","central",4
