"left_feature","right_feature","score","orientation","relation_rank","dataset","condition","scenario","tier","task","feature_world","model","repeat_id","fold_id","relation_text","k","disjoint","selected_frequency"
"RAW_DECILES_Fp1_alpha_D50","DERIVED_DECILES_ALL_parietal_alpha_spread",1,"pos",1,"synthetic_smoke","EC","cv_ec",1,"AD_vs_CN","P0P1_SMALL","TSP_k1",1,1,"RAW_DECILES_Fp1_alpha_D50 > DERIVED_DECILES_ALL_parietal_alpha_spread",1,FALSE,
"RAW_DECILES_Fp1_alpha_D50","DERIVED_DECILES_ALL_parietal_alpha_spread",1,"pos",1,"synthetic_smoke","EC","cv_ec",1,"AD_vs_CN","P0P1_SMALL","TSP_k1",1,2,"RAW_DECILES_Fp1_alpha_D50 > DERIVED_DECILES_ALL_parietal_alpha_spread",1,FALSE,
"RAW_DECILES_Fp1_alpha_D50","DERIVED_DECILES_ALL_parietal_alpha_spread",1,"pos",1,"synthetic_smoke","EC","cv_ec",1,"AD_vs_CN","P0P1_SMALL","kTSP_k3_disjoint",1,1,"RAW_DECILES_Fp1_alpha_D50 > DERIVED_DECILES_ALL_parietal_alpha_spread",3,TRUE,
"RAW_DECILES_Pz_alpha_D50","DERIVED_DECILES_ALL_frontal_theta_spread",1,"neg",2,"synthetic_smoke","EC","cv_ec",1,"AD_vs_CN","P0P1_SMALL","kTSP_k3_disjoint",1,1,"RAW_DECILES_Pz_alpha_D50 > DERIVED_DECILES_ALL_frontal_theta_spread",3,TRUE,
"REGION_AGGREGATES_ALL_frontal_theta","REGION_AGGREGATES_ALL_parietal_alpha",1,"pos",3,"synthetic_smoke","EC","cv_ec",1,"AD_vs_CN","P0P1_SMALL","kTSP_k3_disjoint",1,1,"REGION_AGGREGATES_ALL_frontal_theta > REGION_AGGREGATES_ALL_parietal_alpha",3,TRUE,
"RAW_DECILES_Fp1_alpha_D50","DERIVED_DECILES_ALL_parietal_alpha_spread",1,"pos",1,"synthetic_smoke","EC","cv_ec",1,"AD_vs_CN","P0P1_SMALL","kTSP_k3_disjoint",1,2,"RAW_DECILES_Fp1_alpha_D50 > DERIVED_DECILES_ALL_parietal_alpha_spread",3,TRUE,
"RAW_DECILES_Pz_alpha_D50","DERIVED_DECILES_ALL_frontal_theta_spread",1,"neg",2,"synthetic_smoke","EC","cv_ec",1,"AD_vs_CN","P0P1_SMALL","kTSP_k3_disjoint",1,2,"RAW_DECILES_Pz_alpha_D50 > DERIVED_DECILES_ALL_frontal_theta_spread",3,TRUE,
"REGION_AGGREGATES_ALL_frontal_theta","REGION_AGGREGATES_ALL_parietal_alpha",1,"pos",3,"synthetic_smoke","EC","cv_ec",1,"AD_vs_CN","P0P1_SMALL","kTSP_k3_disjoint",1,2,"REGION_AGGREGATES_ALL_frontal_theta > REGION_AGGREGATES_ALL_parietal_alpha",3,TRUE,
"RAW_DECILES_Fp1_alpha_D50","DERIVED_DECILES_ALL_parietal_alpha_spread",1,"pos",1,"synthetic_smoke","EC","cv_ec",1,"AD_FTD_vs_CN","P0P1_SMALL","kTSP_k3_nondisjoint",1,1,"RAW_DECILES_Fp1_alpha_D50 > DERIVED_DECILES_ALL_parietal_alpha_spread",3,FALSE,
"RAW_DECILES_Fp1_alpha_D50","REGION_AGGREGATES_ALL_parietal_alpha",1,"pos",2,"synthetic_smoke","EC","cv_ec",1,"AD_FTD_vs_CN","P0P1_SMALL","kTSP_k3_nondisjoint",1,1,"RAW_DECILES_Fp1_alpha_D50 > REGION_AGGREGATES_ALL_parietal_alpha",3,FALSE,
"RAW_DECILES_Fp1_alpha_D50","PSD_ABSOLUTE_CHANNEL_BAND_O1_alpha",1,"pos",3,"synthetic_smoke","EC","cv_ec",1,"AD_FTD_vs_CN","P0P1_SMALL","kTSP_k3_nondisjoint",1,1,"RAW_DECILES_Fp1_alpha_D50 > PSD_ABSOLUTE_CHANNEL_BAND_O1_alpha",3,FALSE,
"RAW_DECILES_Fp1_alpha_D50","DERIVED_DECILES_ALL_parietal_alpha_spread",1,"pos",1,"synthetic_smoke","EC","cv_ec",1,"AD_FTD_vs_CN","P0P1_SMALL","kTSP_k3_nondisjoint",1,2,"RAW_DECILES_Fp1_alpha_D50 > DERIVED_DECILES_ALL_parietal_alpha_spread",3,FALSE,
"RAW_DECILES_Fp1_alpha_D50","REGION_AGGREGATES_ALL_parietal_alpha",1,"pos",2,"synthetic_smoke","EC","cv_ec",1,"AD_FTD_vs_CN","P0P1_SMALL","kTSP_k3_nondisjoint",1,2,"RAW_DECILES_Fp1_alpha_D50 > REGION_AGGREGATES_ALL_parietal_alpha",3,FALSE,
"RAW_DECILES_Fp1_alpha_D50","PSD_ABSOLUTE_CHANNEL_BAND_O1_alpha",1,"pos",3,"synthetic_smoke","EC","cv_ec",1,"AD_FTD_vs_CN","P0P1_SMALL","kTSP_k3_nondisjoint",1,2,"RAW_DECILES_Fp1_alpha_D50 > PSD_ABSOLUTE_CHANNEL_BAND_O1_alpha",3,FALSE,
