dataset,condition,task,feature_world,model,model_family,rank,macro_f1,mcc,is_example
ds004504_example,EC,AD_vs_CN,REGION_AGGREGATES_ALL,majority,classic,1,0.82,0.6,True
ds004504_example,EC,AD_vs_CN,REGION_AGGREGATES_ALL,glmnet_ridge,classic,2,0.795,0.57,True
ds004504_example,EC,AD_vs_CN,REGION_AGGREGATES_ALL,svm_linear_liblinear,classic,3,0.77,0.54,True
ds004504_example,EC,AD_vs_CN,REGION_AGGREGATES_ALL,ranger_rf,classic,4,0.745,0.51,True
ds004504_example,EC,AD_vs_CN,REGION_AGGREGATES_ALL,TSP_k1,relational,5,0.72,0.48,True
ds004504_example,EC,AD_vs_CN,REGION_AGGREGATES_ALL,kTSP_k5_disjoint,relational,6,0.695,0.45,True
ds004504_example,EC,AD_FTD_vs_CN,REGION_AGGREGATES_ALL,majority,classic,1,0.82,0.6,True
ds004504_example,EC,AD_FTD_vs_CN,REGION_AGGREGATES_ALL,glmnet_ridge,classic,2,0.795,0.57,True
ds004504_example,EC,AD_FTD_vs_CN,REGION_AGGREGATES_ALL,svm_linear_liblinear,classic,3,0.77,0.54,True
ds004504_example,EC,AD_FTD_vs_CN,REGION_AGGREGATES_ALL,ranger_rf,classic,4,0.745,0.51,True
ds004504_example,EC,AD_FTD_vs_CN,REGION_AGGREGATES_ALL,TSP_k1,relational,5,0.72,0.48,True
ds004504_example,EC,AD_FTD_vs_CN,REGION_AGGREGATES_ALL,kTSP_k5_disjoint,relational,6,0.695,0.45,True
ds004504_example,EC,CN_vs_FTD,REGION_AGGREGATES_ALL,majority,classic,1,0.82,0.6,True
ds004504_example,EC,CN_vs_FTD,REGION_AGGREGATES_ALL,glmnet_ridge,classic,2,0.795,0.57,True
ds004504_example,EC,CN_vs_FTD,REGION_AGGREGATES_ALL,svm_linear_liblinear,classic,3,0.77,0.54,True
ds004504_example,EC,CN_vs_FTD,REGION_AGGREGATES_ALL,ranger_rf,classic,4,0.745,0.51,True
ds004504_example,EC,CN_vs_FTD,REGION_AGGREGATES_ALL,TSP_k1,relational,5,0.72,0.48,True
ds004504_example,EC,CN_vs_FTD,REGION_AGGREGATES_ALL,kTSP_k5_disjoint,relational,6,0.695,0.45,True
ds004504_example,EC,AD_vs_FTD,REGION_AGGREGATES_ALL,majority,classic,1,0.74,0.45,True
ds004504_example,EC,AD_vs_FTD,REGION_AGGREGATES_ALL,glmnet_ridge,classic,2,0.715,0.42,True
ds004504_example,EC,AD_vs_FTD,REGION_AGGREGATES_ALL,svm_linear_liblinear,classic,3,0.69,0.39,True
ds004504_example,EC,AD_vs_FTD,REGION_AGGREGATES_ALL,ranger_rf,classic,4,0.665,0.36,True
ds004504_example,EC,AD_vs_FTD,REGION_AGGREGATES_ALL,TSP_k1,relational,5,0.64,0.33,True
ds004504_example,EC,AD_vs_FTD,REGION_AGGREGATES_ALL,kTSP_k5_disjoint,relational,6,0.615,0.3,True
