dataset,condition,task,feature_world,repeat_id,ktsp_model,classic_model,metric,delta,is_example
ds004504_example,EC,AD_vs_CN,REGION_AGGREGATES_ALL,1,kTSP_example,classic_example,macro_f1,0.035,True
ds004504_example,EC,AD_FTD_vs_CN,REGION_AGGREGATES_ALL,1,kTSP_example,classic_example,macro_f1,0.005,True
ds004504_example,EC,CN_vs_FTD,REGION_AGGREGATES_ALL,1,kTSP_example,classic_example,macro_f1,-0.035,True
ds004504_example,EC,AD_vs_FTD,REGION_AGGREGATES_ALL,1,kTSP_example,classic_example,macro_f1,-0.035,True
ds004504_example,EC,AD_vs_CN,REGION_AGGREGATES_ALL,2,kTSP_example,classic_example,macro_f1,0.04,True
ds004504_example,EC,AD_FTD_vs_CN,REGION_AGGREGATES_ALL,2,kTSP_example,classic_example,macro_f1,0.01,True
ds004504_example,EC,CN_vs_FTD,REGION_AGGREGATES_ALL,2,kTSP_example,classic_example,macro_f1,-0.03,True
ds004504_example,EC,AD_vs_FTD,REGION_AGGREGATES_ALL,2,kTSP_example,classic_example,macro_f1,-0.03,True
ds004504_example,EC,AD_vs_CN,REGION_AGGREGATES_ALL,3,kTSP_example,classic_example,macro_f1,0.045,True
ds004504_example,EC,AD_FTD_vs_CN,REGION_AGGREGATES_ALL,3,kTSP_example,classic_example,macro_f1,0.015,True
ds004504_example,EC,CN_vs_FTD,REGION_AGGREGATES_ALL,3,kTSP_example,classic_example,macro_f1,-0.025,True
ds004504_example,EC,AD_vs_FTD,REGION_AGGREGATES_ALL,3,kTSP_example,classic_example,macro_f1,-0.025,True
ds004504_example,EC,AD_vs_CN,REGION_AGGREGATES_ALL,4,kTSP_example,classic_example,macro_f1,0.05,True
ds004504_example,EC,AD_FTD_vs_CN,REGION_AGGREGATES_ALL,4,kTSP_example,classic_example,macro_f1,0.02,True
ds004504_example,EC,CN_vs_FTD,REGION_AGGREGATES_ALL,4,kTSP_example,classic_example,macro_f1,-0.02,True
ds004504_example,EC,AD_vs_FTD,REGION_AGGREGATES_ALL,4,kTSP_example,classic_example,macro_f1,-0.02,True
ds004504_example,EC,AD_vs_CN,REGION_AGGREGATES_ALL,5,kTSP_example,classic_example,macro_f1,0.03,True
ds004504_example,EC,AD_FTD_vs_CN,REGION_AGGREGATES_ALL,5,kTSP_example,classic_example,macro_f1,0.0,True
ds004504_example,EC,CN_vs_FTD,REGION_AGGREGATES_ALL,5,kTSP_example,classic_example,macro_f1,-0.04,True
ds004504_example,EC,AD_vs_FTD,REGION_AGGREGATES_ALL,5,kTSP_example,classic_example,macro_f1,-0.04,True
