"tier","scenario_family","scenario_name","layer","world","condition","task","model","channel","n_jobs"
"tier1_main","single_condition","single_condition","P1_psd_bandpower_from_derivatives","PSD_ABSOLUTE_CHANNEL_BAND","ds004504__EC","AD_vs_FTD","kTSP_CV_disjoint","C3",5
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","ds004504__EC","AD_vs_FTD","kTSP_CV_nondisjoint","C3",12
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","RAW_DECILES","ds006036__EO_or_photomark","CN_vs_FTD","kTSP_k5_disjoint","C3",37
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","ds004504__EC","AD_FTD_vs_CN","kTSP_k9_disjoint","C3",1
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","ds006036__EO_or_photomark","AD_FTD_vs_CN","kTSP_k9_disjoint","C3",5
"tier1_main","single_condition","single_condition","P1_psd_bandpower_from_derivatives","PSD_ABSOLUTE_CHANNEL_BAND","ds006036__EO_or_photomark","AD_FTD_vs_CN","kTSP_k9_disjoint","C3",1
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","RAW_DECILES","ds006036__EO_or_photomark","AD_FTD_vs_CN","kTSP_k9_disjoint","C3",18
"tier4_pooled","pooled_condition","POOLED_EC_EO_subject_grouped","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","POOLED_EC_EO_subject_grouped","AD_FTD_vs_CN","kTSP_k9_disjoint","C3",1
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","ds004504__EC","AD_vs_CN","kTSP_k9_disjoint","C3",4
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","RAW_DECILES","ds004504__EC","AD_vs_CN","kTSP_k9_disjoint","C3",2
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","ds006036__EO_or_photomark","AD_vs_CN","kTSP_k9_disjoint","C3",5
"tier1_main","single_condition","single_condition","P1_psd_bandpower_from_derivatives","PSD_ABSOLUTE_CHANNEL_BAND","ds006036__EO_or_photomark","AD_vs_CN","kTSP_k9_disjoint","C3",1
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","RAW_DECILES","ds006036__EO_or_photomark","AD_vs_CN","kTSP_k9_disjoint","C3",8
"tier4_pooled","pooled_condition","POOLED_EC_EO_subject_grouped","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","POOLED_EC_EO_subject_grouped","AD_vs_CN","kTSP_k9_disjoint","C3",2
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","RAW_DECILES","ds004504__EC","AD_vs_FTD","kTSP_k9_disjoint","C3",5
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","ds006036__EO_or_photomark","AD_vs_FTD","kTSP_k9_disjoint","C3",43
"tier1_main","single_condition","single_condition","P1_psd_bandpower_from_derivatives","PSD_ABSOLUTE_CHANNEL_BAND","ds006036__EO_or_photomark","AD_vs_FTD","kTSP_k9_disjoint","C3",8
"tier2_cross_condition","cross_condition_transfer","EO_photo_train__EC_test","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","EO_photo_train__EC_test","AD_vs_FTD","kTSP_k9_disjoint","C3",1
"tier4_pooled","pooled_condition","POOLED_EC_EO_subject_grouped","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","POOLED_EC_EO_subject_grouped","AD_vs_FTD","kTSP_k9_disjoint","C3",6
"tier1_main","single_condition","single_condition","P1_psd_bandpower_from_derivatives","PSD_ABSOLUTE_CHANNEL_BAND","ds004504__EC","CN_vs_FTD","kTSP_k9_disjoint","C3",8
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","RAW_DECILES","ds004504__EC","CN_vs_FTD","kTSP_k9_disjoint","C3",7
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","ds006036__EO_or_photomark","CN_vs_FTD","kTSP_k9_disjoint","C3",32
"tier4_pooled","pooled_condition","POOLED_EC_EO_subject_grouped","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","POOLED_EC_EO_subject_grouped","CN_vs_FTD","kTSP_k9_disjoint","C3",3
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","RAW_DECILES","ds006036__EO_or_photomark","AD_vs_FTD","kTSP_k9_nondisjoint","C3",7
"tier1_main","single_condition","single_condition","P1_psd_bandpower_from_derivatives","PSD_ABSOLUTE_CHANNEL_BAND","ds004504__EC","AD_vs_FTD","kTSP_CV_disjoint","C4",18
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","ds004504__EC","AD_vs_FTD","kTSP_CV_nondisjoint","C4",41
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","RAW_DECILES","ds006036__EO_or_photomark","CN_vs_FTD","kTSP_k5_disjoint","C4",4
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","ds006036__EO_or_photomark","AD_FTD_vs_CN","kTSP_k9_disjoint","C4",4
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","RAW_DECILES","ds006036__EO_or_photomark","AD_FTD_vs_CN","kTSP_k9_disjoint","C4",1
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","ds004504__EC","AD_vs_CN","kTSP_k9_disjoint","C4",3
"tier1_main","single_condition","single_condition","P1_psd_bandpower_from_derivatives","PSD_ABSOLUTE_CHANNEL_BAND","ds004504__EC","AD_vs_CN","kTSP_k9_disjoint","C4",1
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","RAW_DECILES","ds004504__EC","AD_vs_CN","kTSP_k9_disjoint","C4",1
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","ds006036__EO_or_photomark","AD_vs_CN","kTSP_k9_disjoint","C4",1
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","RAW_DECILES","ds006036__EO_or_photomark","AD_vs_CN","kTSP_k9_disjoint","C4",1
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","RAW_DECILES","ds004504__EC","AD_vs_FTD","kTSP_k9_disjoint","C4",9
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","ds006036__EO_or_photomark","AD_vs_FTD","kTSP_k9_disjoint","C4",26
"tier1_main","single_condition","single_condition","P1_psd_bandpower_from_derivatives","PSD_ABSOLUTE_CHANNEL_BAND","ds006036__EO_or_photomark","AD_vs_FTD","kTSP_k9_disjoint","C4",15
"tier4_pooled","pooled_condition","POOLED_EC_EO_subject_grouped","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","POOLED_EC_EO_subject_grouped","AD_vs_FTD","kTSP_k9_disjoint","C4",11
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","ds004504__EC","CN_vs_FTD","kTSP_k9_disjoint","C4",16
"tier1_main","single_condition","single_condition","P1_psd_bandpower_from_derivatives","PSD_ABSOLUTE_CHANNEL_BAND","ds004504__EC","CN_vs_FTD","kTSP_k9_disjoint","C4",1
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","RAW_DECILES","ds004504__EC","CN_vs_FTD","kTSP_k9_disjoint","C4",12
