tier,scenario_family,scenario_name,condition,task,world_ktsp,model_ktsp,mcc_ktsp,balanced_accuracy_ktsp,macro_f1_ktsp,world_classic,model_classic,mcc_classic,balanced_accuracy_classic,macro_f1_classic,delta_mcc,delta_balanced_accuracy,delta_macro_f1
smoke,single_condition,single_condition,ds004504__EC,AD_vs_CN,PSD_REGION_ABSOLUTE,kTSP_CV_nondisjoint,0.875,0.9375,0.928571428571428,PSD_REGION_ABSOLUTE,xgboost_default,0.65612294858165,0.822916666666667,0.817748917748917,0.21887705141835,0.11458333333333304,0.11082251082251104
smoke,single_condition,single_condition,ds006036__EO_or_photomark,AD_vs_CN,REGION_AGGREGATES_ALL,kTSP_CV_disjoint,0.725189521581659,0.833333333333333,0.840972222222222,REGION_AGGREGATES_ALL,ranger_rf,0.728467626492747,0.833333333333333,0.837799043062201,-0.0032781049110880423,0.0,0.0031731791600210224
tier1_main,single_condition,single_condition,ds004504__EC,AD_FTD_vs_CN,PSD_REGION_ABSOLUTE,kTSP_k9_nondisjoint,0.575637602042333,0.799780303030303,0.769839574381811,PSD_ABSOLUTE_CHANNEL_BAND,sda_shrinklda,0.588675354384519,0.771365166819712,0.77981459504077,-0.01303775234218596,0.028415136210590997,-0.009975020658958944
tier1_main,single_condition,single_condition,ds004504__EC,AD_vs_CN,PSD_REGION_ABSOLUTE,kTSP_k5_disjoint,0.640884583998936,0.810940476190476,0.792309125858661,PSD_ABSOLUTE_CHANNEL_BAND,ranger_rf,0.648383493215519,0.81575,0.810428928914223,-0.007498909216583027,-0.00480952380952393,-0.018119803055562045
tier1_main,single_condition,single_condition,ds004504__EC,AD_vs_FTD,DERIVED_DECILES_ALL,kTSP_CV_nondisjoint,0.189541533935888,0.592470544918999,0.563204332390203,DERIVED_DECILES_ALL,xgboost_default,0.315595162397024,0.650607142857143,0.640604931832873,-0.12605362846113602,-0.058136597938144075,-0.07740059944267008
tier1_main,single_condition,single_condition,ds004504__EC,CN_vs_FTD,PSD_ABSOLUTE_CHANNEL_BAND,kTSP_k9_disjoint,0.588967090322943,0.76953125,0.767096560846561,PSD_REGION_ABSOLUTE,sda_shrinklda,0.511504045707068,0.747643097643098,0.729060025272147,0.07746304461587505,0.021888152356902002,0.038036535574414
tier1_main,single_condition,single_condition,ds006036__EO_or_photomark,AD_FTD_vs_CN,PSD_REGION_ABSOLUTE,kTSP_k9_disjoint,0.56324926752984,0.792522727272727,0.746333733727872,PSD_ABSOLUTE_CHANNEL_BAND,sda_shrinklda,0.503088382068222,0.730666666666667,0.734573107371833,0.06016088546161791,0.06185606060605997,0.011760626356039028
tier1_main,single_condition,single_condition,ds006036__EO_or_photomark,AD_vs_CN,PSD_REGION_ABSOLUTE,kTSP_k9_disjoint,0.67248936704632,0.829422619047619,0.815373103203985,PSD_REGION_ABSOLUTE,sda_shrinklda,0.604221614851531,0.787755952380952,0.785274565346934,0.06826775219478898,0.041666666666667074,0.030098537857051078
tier1_main,single_condition,single_condition,ds006036__EO_or_photomark,AD_vs_FTD,RAW_DECILES,kTSP_k9_nondisjoint,0.286875206607943,0.639413265306123,0.621497286192112,DERIVED_DECILES_ALL,svm_linear_liblinear,0.447701968213282,0.713401875901876,0.70728350410192,-0.16082676160533899,-0.07398861059575301,-0.085786217909808
tier1_main,single_condition,single_condition,ds006036__EO_or_photomark,CN_vs_FTD,PSD_ABSOLUTE_CHANNEL_BAND,kTSP_k3_disjoint,0.655529521246105,0.818333333333333,0.80937148962149,PSD_REGION_ABSOLUTE,glmnet_ridge,0.65708813004033,0.8185,0.810320152070152,-0.0015586087942249804,-0.00016666666666698138,-0.0009486624486619855
