tier,scenario_family,scenario_name,layer,world,condition,task,model,feature,n_jobs_selected
tier1_main,single_condition,single_condition,P1_psd_bandpower_from_derivatives,PSD_REGION_ABSOLUTE,ds006036__EO_or_photomark,AD_vs_CN,kTSP_k9_disjoint,occipital_alpha_psd_abs,100
tier1_main,single_condition,single_condition,P1_psd_bandpower_from_derivatives,PSD_REGION_ABSOLUTE,ds004504__EC,AD_vs_CN,kTSP_k5_disjoint,occipital_beta_psd_abs,100
tier1_main,single_condition,single_condition,P1_psd_bandpower_from_derivatives,PSD_REGION_ABSOLUTE,ds004504__EC,AD_vs_CN,kTSP_k5_disjoint,frontal_beta_psd_abs,100
tier1_main,single_condition,single_condition,P1_psd_bandpower_from_derivatives,PSD_ABSOLUTE_CHANNEL_BAND,ds006036__EO_or_photomark,AD_FTD_vs_CN,kTSP_k9_disjoint,O2_alpha_psd_abs,100
tier4_pooled,pooled_condition,POOLED_EC_EO_subject_grouped,P1_psd_bandpower_from_derivatives,PSD_REGION_ABSOLUTE,POOLED_EC_EO_subject_grouped,AD_FTD_vs_CN,kTSP_k5_disjoint,occipital_alpha_psd_abs,100
tier1_main,single_condition,single_condition,P1_psd_bandpower_from_derivatives,PSD_REGION_ABSOLUTE,ds004504__EC,AD_vs_CN,kTSP_k5_disjoint,occipital_alpha_psd_abs,100
tier4_pooled,pooled_condition,POOLED_EC_EO_subject_grouped,P1_psd_bandpower_from_derivatives,PSD_REGION_ABSOLUTE,POOLED_EC_EO_subject_grouped,AD_vs_CN,kTSP_k5_disjoint,occipital_alpha_psd_abs,100
tier1_main,single_condition,single_condition,P1_psd_bandpower_from_derivatives,PSD_REGION_ABSOLUTE,ds004504__EC,CN_vs_FTD,kTSP_k5_nondisjoint,occipital_alpha_psd_abs,100
tier1_main,single_condition,single_condition,P1_psd_bandpower_from_derivatives,PSD_REGION_ABSOLUTE,ds006036__EO_or_photomark,AD_FTD_vs_CN,kTSP_k9_disjoint,occipital_alpha_psd_abs,100
tier1_main,single_condition,single_condition,P1_psd_bandpower_from_derivatives,PSD_REGION_ABSOLUTE,ds004504__EC,AD_FTD_vs_CN,kTSP_k9_nondisjoint,frontal_theta_psd_abs,100
