block,model,n_expected_fold_rows,n_prediction_rows_available,stored_macro_f1_matches_recomputed,stored_macro_f1_mismatches_or_missing,stored_confusion_matches_recomputed,status
classic_fast,glmnet_elasticnet,4000,4000,247,3753,4000,RAW_STORED_MACRO_F1_PROBLEM
classic_fast,glmnet_lasso,4000,4000,257,3743,4000,RAW_STORED_MACRO_F1_PROBLEM
classic_fast,glmnet_ridge,4000,4000,161,3839,4000,RAW_STORED_MACRO_F1_PROBLEM
classic_fast,knn_euclidean,4000,4000,291,3709,4000,RAW_STORED_MACRO_F1_PROBLEM
classic_fast,majority,4000,4000,0,4000,4000,RAW_STORED_MACRO_F1_PROBLEM
classic_fast,ranger_rf,4000,4000,368,3632,4000,RAW_STORED_MACRO_F1_PROBLEM
classic_fast,sda_shrinklda,4000,4000,436,3564,4000,RAW_STORED_MACRO_F1_PROBLEM
classic_fast,svm_linear_liblinear,4000,4000,450,3550,4000,RAW_STORED_MACRO_F1_PROBLEM
classic_fast,xgboost_default,4000,4000,452,3548,4000,RAW_STORED_MACRO_F1_PROBLEM
classic_fast,xgboost_shallow,4000,4000,452,3548,4000,RAW_STORED_MACRO_F1_PROBLEM
switchBox,TSP_k1,4000,4000,534,3466,4000,RAW_STORED_MACRO_F1_PROBLEM
switchBox,kTSP_CV_disjoint,4000,4000,532,3468,4000,RAW_STORED_MACRO_F1_PROBLEM
switchBox,kTSP_CV_nondisjoint,4000,4000,545,3455,4000,RAW_STORED_MACRO_F1_PROBLEM
switchBox,kTSP_k3_disjoint,4000,4000,563,3437,4000,RAW_STORED_MACRO_F1_PROBLEM
switchBox,kTSP_k3_nondisjoint,4000,4000,538,3462,4000,RAW_STORED_MACRO_F1_PROBLEM
switchBox,kTSP_k5_disjoint,4000,4000,499,3501,4000,RAW_STORED_MACRO_F1_PROBLEM
switchBox,kTSP_k5_nondisjoint,4000,4000,539,3461,4000,RAW_STORED_MACRO_F1_PROBLEM
switchBox,kTSP_k9_disjoint,4000,4000,547,3453,4000,RAW_STORED_MACRO_F1_PROBLEM
switchBox,kTSP_k9_nondisjoint,4000,4000,570,3430,4000,RAW_STORED_MACRO_F1_PROBLEM
