layer,world,condition,task,n_folds,input_feature_counts,retained_feature_counts,all_folds_match_switchbox_1_48_effective_count,all_folds_training_only,description
P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,AD_FTD_vs_CN,100,570,101,True,True,featureNo=100 requested with UpDown=TRUE; switchBox 1.48.0 effectively retains up to 101 unique features because its inclusive lower-tail index contributes 51 features
P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,AD_vs_CN,100,570,101,True,True,featureNo=100 requested with UpDown=TRUE; switchBox 1.48.0 effectively retains up to 101 unique features because its inclusive lower-tail index contributes 51 features
P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,AD_vs_FTD,100,570,101,True,True,featureNo=100 requested with UpDown=TRUE; switchBox 1.48.0 effectively retains up to 101 unique features because its inclusive lower-tail index contributes 51 features
P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,CN_vs_FTD,100,570,101,True,True,featureNo=100 requested with UpDown=TRUE; switchBox 1.48.0 effectively retains up to 101 unique features because its inclusive lower-tail index contributes 51 features
P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds006036__EO_or_photomark,AD_FTD_vs_CN,100,570,101,True,True,featureNo=100 requested with UpDown=TRUE; switchBox 1.48.0 effectively retains up to 101 unique features because its inclusive lower-tail index contributes 51 features
P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds006036__EO_or_photomark,AD_vs_CN,100,570,101,True,True,featureNo=100 requested with UpDown=TRUE; switchBox 1.48.0 effectively retains up to 101 unique features because its inclusive lower-tail index contributes 51 features
P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds006036__EO_or_photomark,AD_vs_FTD,100,570,101,True,True,featureNo=100 requested with UpDown=TRUE; switchBox 1.48.0 effectively retains up to 101 unique features because its inclusive lower-tail index contributes 51 features
P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds006036__EO_or_photomark,CN_vs_FTD,100,570,101,True,True,featureNo=100 requested with UpDown=TRUE; switchBox 1.48.0 effectively retains up to 101 unique features because its inclusive lower-tail index contributes 51 features
P0_derivative_amplitude_deciles,RAW_DECILES,ds004504__EC,AD_FTD_vs_CN,100,855,101,True,True,featureNo=100 requested with UpDown=TRUE; switchBox 1.48.0 effectively retains up to 101 unique features because its inclusive lower-tail index contributes 51 features
P0_derivative_amplitude_deciles,RAW_DECILES,ds004504__EC,AD_vs_CN,100,855,101,True,True,featureNo=100 requested with UpDown=TRUE; switchBox 1.48.0 effectively retains up to 101 unique features because its inclusive lower-tail index contributes 51 features
