"job_id","model","parameter","intended_value","effective_config_evidence","verification_status"
"tier1_main_000002","xgboost_shallow","objective","binary:logistic","learner.gradient_booster.name=gbtree | learner.gradient_booster.updater.name=grow_quantile_histmaker | learner.learner_train_param.objective=reg:squarederror | learner.objective.name=reg:squarederror","effective value captured; inspect evidence"
"tier1_main_000002","xgboost_shallow","max_depth","2","learner.gradient_booster.tree_train_param.max_depth=6","effective value captured; inspect evidence"
"tier1_main_000002","xgboost_shallow","eta","0.1","learner.gradient_booster.tree_train_param.eta=0.300000012 | learner.gradient_booster.tree_train_param.learning_rate=0.300000012","effective value captured; inspect evidence"
"tier1_main_000002","xgboost_shallow","subsample","0.9","learner.gradient_booster.tree_train_param.subsample=1","effective value captured; inspect evidence"
"tier1_main_000002","xgboost_shallow","colsample_bytree","0.9","learner.gradient_booster.tree_train_param.colsample_bytree=1","effective value captured; inspect evidence"
"tier1_main_000002","xgboost_shallow","nrounds","50","50","effective value captured; inspect evidence"
"tier1_main_000002","xgboost_shallow","min_child_weight","not explicitly set","learner.gradient_booster.tree_train_param.min_child_weight=1","effective value captured; inspect evidence"
"tier1_main_000002","xgboost_shallow","seed","not explicitly set","learner.generic_param.random_state=0 | learner.generic_param.seed=0","effective value captured; inspect evidence"
"tier1_main_000002","xgboost_shallow","num_class","2","learner.learner_model_param.num_class=0","effective value captured; inspect evidence"
"tier1_main_000002","xgboost_default","objective","binary:logistic","learner.gradient_booster.name=gbtree | learner.gradient_booster.updater.name=grow_quantile_histmaker | learner.learner_train_param.objective=reg:squarederror | learner.objective.name=reg:squarederror","effective value captured; inspect evidence"
"tier1_main_000002","xgboost_default","max_depth","4","learner.gradient_booster.tree_train_param.max_depth=6","effective value captured; inspect evidence"
"tier1_main_000002","xgboost_default","eta","0.05","learner.gradient_booster.tree_train_param.eta=0.300000012 | learner.gradient_booster.tree_train_param.learning_rate=0.300000012","effective value captured; inspect evidence"
"tier1_main_000002","xgboost_default","subsample","0.9","learner.gradient_booster.tree_train_param.subsample=1","effective value captured; inspect evidence"
"tier1_main_000002","xgboost_default","colsample_bytree","0.9","learner.gradient_booster.tree_train_param.colsample_bytree=1","effective value captured; inspect evidence"
"tier1_main_000002","xgboost_default","nrounds","100","100","effective value captured; inspect evidence"
"tier1_main_000002","xgboost_default","min_child_weight","not explicitly set","learner.gradient_booster.tree_train_param.min_child_weight=1","effective value captured; inspect evidence"
"tier1_main_000002","xgboost_default","seed","not explicitly set","learner.generic_param.random_state=0 | learner.generic_param.seed=0","effective value captured; inspect evidence"
"tier1_main_000002","xgboost_default","num_class","2","learner.learner_model_param.num_class=0","effective value captured; inspect evidence"
