"condition","task","analysis_scope","representation","representation_raw","representation_family","method","model_role","manuscript_role","mean_macroF1","mean_MCC","mean_balanced_accuracy","mean_model_size","mean_n_relations","mean_n_feature_mentions","n_rows","n_repeats","rank"
"EC","AD vs CN","all_representations","Channel-band absolute PSD/bandpower","PSD_ABSOLUTE_CHANNEL_BAND","PSD/bandpower","Elastic-net LR","standard_ML","standard ML baseline",0.74761934861664,0.538140605633799,0.752422619047619,NA,NA,NA,20,20,9
"EC","AD vs CN","all_representations","Channel-band absolute PSD/bandpower","PSD_ABSOLUTE_CHANNEL_BAND","PSD/bandpower","k-TSP CV non-disjoint","rank_rule_sensitivity","rank_rule_sensitivity",0.749878995187819,0.535061151918173,0.760732142857143,5.44,2.72,5.44,20,20,8
"EC","AD vs CN","all_representations","Channel-band absolute PSD/bandpower","PSD_ABSOLUTE_CHANNEL_BAND","PSD/bandpower","k-TSP k=3 disjoint","rank_rule_sensitivity","rank_rule_sensitivity",0.75365072264337,0.539724356238329,0.763482142857143,6,3,6,20,20,7
"EC","AD vs CN","all_representations","Channel-band absolute PSD/bandpower","PSD_ABSOLUTE_CHANNEL_BAND","PSD/bandpower","k-TSP k=3 non-disjoint","rank_rule_sensitivity","rank_rule_sensitivity",0.729520858226741,0.495111357065464,0.740386904761905,4.81,2.405,4.81,20,20,15
"EC","AD vs CN","all_representations","Channel-band absolute PSD/bandpower","PSD_ABSOLUTE_CHANNEL_BAND","PSD/bandpower","k-TSP k=5 disjoint","rank_rule_sensitivity","rank_rule_sensitivity",0.769478505154976,0.569143291915051,0.779267857142857,8,4,8,20,20,4
"EC","AD vs CN","all_representations","Channel-band absolute PSD/bandpower","PSD_ABSOLUTE_CHANNEL_BAND","PSD/bandpower","k-TSP k=5 non-disjoint","rank_rule_sensitivity","rank_rule_sensitivity",0.746011765195589,0.527254891168004,0.756446428571429,6.05,3.025,6.05,20,20,10
"EC","AD vs CN","all_representations","Channel-band absolute PSD/bandpower","PSD_ABSOLUTE_CHANNEL_BAND","PSD/bandpower","k-TSP k=9 disjoint","rank_rule_sensitivity","rank_rule_sensitivity",0.799249845742493,0.629033474369374,0.809517857142857,8,4,8,20,20,2
"EC","AD vs CN","all_representations","Channel-band absolute PSD/bandpower","PSD_ABSOLUTE_CHANNEL_BAND","PSD/bandpower","k-TSP k=9 non-disjoint","rank_rule_sensitivity","rank_rule_sensitivity",0.761845685360391,0.548287670192132,0.769255952380952,6.05,3.025,6.05,20,20,5
"EC","AD vs CN","all_representations","Channel-band absolute PSD/bandpower","PSD_ABSOLUTE_CHANNEL_BAND","PSD/bandpower","kNN","standard_ML","standard ML baseline",0.715160629403276,0.47007855228431,0.72797619047619,NA,NA,NA,20,20,16
"EC","AD vs CN","all_representations","Channel-band absolute PSD/bandpower","PSD_ABSOLUTE_CHANNEL_BAND","PSD/bandpower","Lasso LR","standard_ML","standard ML baseline",0.731316557109901,0.512219433097882,0.738386904761905,NA,NA,NA,20,20,14
"EC","AD vs CN","all_representations","Channel-band absolute PSD/bandpower","PSD_ABSOLUTE_CHANNEL_BAND","PSD/bandpower","Linear SVM","standard_ML","standard ML baseline",0.754134728833258,0.539541344302977,0.760458333333333,NA,NA,NA,20,20,6
"EC","AD vs CN","all_representations","Channel-band absolute PSD/bandpower","PSD_ABSOLUTE_CHANNEL_BAND","PSD/bandpower","Majority","standard_ML","standard ML baseline",0.356411483253589,0,0.5,NA,NA,NA,20,20,19
"EC","AD vs CN","all_representations","Channel-band absolute PSD/bandpower","PSD_ABSOLUTE_CHANNEL_BAND","PSD/bandpower","Primary k-TSP","primary_kTSP","pre-specified primary compact rank-rule model",0.780675141035435,0.592027674664738,0.791130952380952,7.8,3.9,7.8,20,20,3
