"split_family","condition","task","repeat_id","positive_class","negative_class","n","tp","tn","fp","fn","accuracy","macro_f1","balanced_accuracy","mcc","precision_positive","recall_positive","f1_positive","support_positive","precision_negative","recall_negative","f1_negative","support_negative"
"P0","ds004504__EC","AD_FTD_vs_CN",1,"AD_FTD","CN",88,58,0,29,1,0.659090909090909,0.397260273972603,0.491525423728814,-0.0751646028002829,0.666666666666667,0.983050847457627,0.794520547945205,59,0,0,0,29
"P0","ds004504__EC","AD_FTD_vs_CN",2,"AD_FTD","CN",88,58,0,29,1,0.659090909090909,0.397260273972603,0.491525423728814,-0.0751646028002829,0.666666666666667,0.983050847457627,0.794520547945205,59,0,0,0,29
"P0","ds004504__EC","AD_FTD_vs_CN",3,"AD_FTD","CN",88,56,1,28,3,0.647727272727273,0.421911421911422,0.491817650496785,-0.036928646295287,0.666666666666667,0.949152542372881,0.783216783216783,59,0.25,0.0344827586206897,0.0606060606060606,29
"P0","ds004504__EC","AD_FTD_vs_CN",4,"AD_FTD","CN",88,56,2,27,3,0.659090909090909,0.453189726594863,0.50905902980713,0.0367885474597433,0.674698795180723,0.949152542372881,0.788732394366197,59,0.4,0.0689655172413793,0.117647058823529,29
"P0","ds004504__EC","AD_FTD_vs_CN",5,"AD_FTD","CN",88,55,0,29,4,0.625,0.384615384615385,0.466101694915254,-0.152990106080475,0.654761904761905,0.932203389830508,0.769230769230769,59,0,0,0,29
"P0","ds004504__EC","AD_FTD_vs_CN",6,"AD_FTD","CN",88,57,1,28,2,0.659090909090909,0.427083333333333,0.500292226767972,0.00151392689742945,0.670588235294118,0.966101694915254,0.791666666666667,59,0.333333333333333,0.0344827586206897,0.0625,29
"P0","ds004504__EC","AD_FTD_vs_CN",7,"AD_FTD","CN",88,58,0,29,1,0.659090909090909,0.397260273972603,0.491525423728814,-0.0751646028002829,0.666666666666667,0.983050847457627,0.794520547945205,59,0,0,0,29
"P0","ds004504__EC","AD_FTD_vs_CN",8,"AD_FTD","CN",88,58,1,28,1,0.670454545454545,0.432258064516129,0.508766803039158,0.0553008779919737,0.674418604651163,0.983050847457627,0.8,59,0.5,0.0344827586206897,0.0645161290322581,29
"P0","ds004504__EC","AD_FTD_vs_CN",9,"AD_FTD","CN",88,56,2,27,3,0.659090909090909,0.453189726594863,0.50905902980713,0.0367885474597433,0.674698795180723,0.949152542372881,0.788732394366197,59,0.4,0.0689655172413793,0.117647058823529,29
"P0","ds004504__EC","AD_FTD_vs_CN",10,"AD_FTD","CN",88,58,2,27,1,0.681818181818182,0.465277777777778,0.526008182349503,0.134739493871221,0.682352941176471,0.983050847457627,0.805555555555556,59,0.666666666666667,0.0689655172413793,0.125,29
"P0","ds004504__EC","AD_FTD_vs_CN",11,"AD_FTD","CN",88,58,0,29,1,0.659090909090909,0.397260273972603,0.491525423728814,-0.0751646028002829,0.666666666666667,0.983050847457627,0.794520547945205,59,0,0,0,29
"P0","ds004504__EC","AD_FTD_vs_CN",12,"AD_FTD","CN",88,58,0,29,1,0.659090909090909,0.397260273972603,0.491525423728814,-0.0751646028002829,0.666666666666667,0.983050847457627,0.794520547945205,59,0,0,0,29
"P0","ds004504__EC","AD_FTD_vs_CN",13,"AD_FTD","CN",88,56,1,28,3,0.647727272727273,0.421911421911422,0.491817650496785,-0.036928646295287,0.666666666666667,0.949152542372881,0.783216783216783,59,0.25,0.0344827586206897,0.0606060606060606,29
"P0","ds004504__EC","AD_FTD_vs_CN",14,"AD_FTD","CN",88,58,0,29,1,0.659090909090909,0.397260273972603,0.491525423728814,-0.0751646028002829,0.666666666666667,0.983050847457627,0.794520547945205,59,0,0,0,29
"P0","ds004504__EC","AD_FTD_vs_CN",15,"AD_FTD","CN",88,57,0,29,2,0.647727272727273,0.393103448275862,0.483050847457627,-0.106915030784482,0.662790697674419,0.966101694915254,0.786206896551724,59,0,0,0,29
"P0","ds004504__EC","AD_FTD_vs_CN",16,"AD_FTD","CN",88,55,2,27,4,0.647727272727273,0.447213779128673,0.500584453535944,0.00217982906755816,0.670731707317073,0.932203389830508,0.780141843971631,59,0.333333333333333,0.0689655172413793,0.114285714285714,29
"P0","ds004504__EC","AD_FTD_vs_CN",17,"AD_FTD","CN",88,56,1,28,3,0.647727272727273,0.421911421911422,0.491817650496785,-0.036928646295287,0.666666666666667,0.949152542372881,0.783216783216783,59,0.25,0.0344827586206897,0.0606060606060606,29
"P0","ds004504__EC","AD_FTD_vs_CN",18,"AD_FTD","CN",88,56,1,28,3,0.647727272727273,0.421911421911422,0.491817650496785,-0.036928646295287,0.666666666666667,0.949152542372881,0.783216783216783,59,0.25,0.0344827586206897,0.0606060606060606,29
"P0","ds004504__EC","AD_FTD_vs_CN",19,"AD_FTD","CN",88,57,3,26,2,0.681818181818182,0.489643744821872,0.534774985388662,0.141220553151918,0.686746987951807,0.966101694915254,0.802816901408451,59,0.6,0.103448275862069,0.176470588235294,29
"P0","ds004504__EC","AD_FTD_vs_CN",20,"AD_FTD","CN",88,57,2,27,2,0.670454545454545,0.459207459207459,0.517533606078317,0.0791328134899008,0.678571428571429,0.966101694915254,0.797202797202797,59,0.5,0.0689655172413793,0.121212121212121,29
"P0","ds004504__EC","AD_vs_CN",1,"AD","CN",65,25,9,20,11,0.523076923076923,0.492315444696397,0.502394636015326,0.00515820383825144,0.555555555555556,0.694444444444444,0.617283950617284,36,0.45,0.310344827586207,0.36734693877551,29
"P0","ds004504__EC","AD_vs_CN",2,"AD","CN",65,26,12,17,10,0.584615384615385,0.564408041697692,0.568007662835249,0.142886937093555,0.604651162790698,0.722222222222222,0.658227848101266,36,0.545454545454545,0.413793103448276,0.470588235294118,29
"P0","ds004504__EC","AD_vs_CN",3,"AD","CN",65,28,6,23,8,0.523076923076923,0.4613739641807,0.492337164750958,-0.0185319289906349,0.549019607843137,0.777777777777778,0.64367816091954,36,0.428571428571429,0.206896551724138,0.27906976744186,29
"P0","ds004504__EC","AD_vs_CN",4,"AD","CN",65,27,7,22,9,0.523076923076923,0.473202614379085,0.495689655172414,-0.00994796454519921,0.551020408163265,0.75,0.635294117647059,36,0.4375,0.241379310344828,0.311111111111111,29
