"split_family","condition","task","metric","n_repeats","repeat_mean","repeat_sd","repeat_median","repeat_iqr","repeat_min","repeat_max","comparison_policy"
"P0","ds004504__EC","AD_FTD_vs_CN","accuracy",20,0.657386363636364,0.0129171372928242,0.659090909090909,0.0113636363636364,0.625,0.681818181818182,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P0","ds004504__EC","AD_FTD_vs_CN","macro_f1",20,0.423799488817376,0.0293666932835146,0.421911421911422,0.0514474920226177,0.384615384615385,0.489643744821872,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P0","ds004504__EC","AD_FTD_vs_CN","balanced_accuracy",20,0.498582700175336,0.0154399967192992,0.491817650496785,0.0173144360023378,0.466101694915254,0.534774985388662,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P0","ds004504__EC","AD_FTD_vs_CN","mcc",20,-0.0185471374729158,0.078620366367507,-0.036928646295287,0.111953150260026,-0.152990106080475,0.141220553151918,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P0","ds004504__EC","AD_FTD_vs_CN","precision_positive",20,0.669851338221325,0.00713011284982961,0.666666666666667,0.00782198561688618,0.654761904761905,0.686746987951807,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P0","ds004504__EC","AD_FTD_vs_CN","recall_positive",20,0.964406779661017,0.018155132995383,0.966101694915254,0.0338983050847458,0.932203389830508,0.983050847457627,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P0","ds004504__EC","AD_FTD_vs_CN","f1_positive",20,0.790513831992918,0.0086097606185976,0.793093607305936,0.0113037647284223,0.769230769230769,0.805555555555556,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P0","ds004504__EC","AD_FTD_vs_CN","precision_negative",20,0.236666666666667,0.226697624304925,0.25,0.4,0,0.666666666666667,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P0","ds004504__EC","AD_FTD_vs_CN","recall_negative",20,0.0327586206896552,0.0325694221168391,0.0344827586206897,0.0689655172413793,0,0.103448275862069,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P0","ds004504__EC","AD_FTD_vs_CN","f1_negative",20,0.0570851456418344,0.0560961648024657,0.0606060606060606,0.115126050420168,0,0.176470588235294,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P1","ds004504__EC","AD_FTD_vs_CN","accuracy",20,0.655681818181818,0.0177199101383445,0.659090909090909,0.0227272727272727,0.613636363636364,0.693181818181818,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P1","ds004504__EC","AD_FTD_vs_CN","macro_f1",20,0.410561840291326,0.0226399176051581,0.401360544217687,0.0269833322184821,0.384615384615385,0.471412680756396,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P1","ds004504__EC","AD_FTD_vs_CN","balanced_accuracy",20,0.493366452367037,0.0155666362409845,0.491817650496785,0.0170222092343659,0.466101694915254,0.53448275862069,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P1","ds004504__EC","AD_FTD_vs_CN","mcc",20,-0.0354460218794068,0.0842791131068128,-0.036928646295287,0.10729351250884,-0.152990106080475,0.21751678676843,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P1","ds004504__EC","AD_FTD_vs_CN","precision_positive",20,0.667388520602539,0.00717685394579371,0.666666666666667,0.00769727024001987,0.654320987654321,0.686046511627907,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P1","ds004504__EC","AD_FTD_vs_CN","recall_positive",20,0.969491525423729,0.0267142008695733,0.966101694915254,0.038135593220339,0.898305084745763,1,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
