job_id,original_selected_k,adjusted_selected_k,max_abs_relation_metric_error,status
tier1_main_000001,3,9,0.0,PASS
tier1_main_000003,9,5,0.0,PASS
tier1_main_000005,5,9,0.0,PASS
tier1_main_000007,9,9,0.0,PASS
tier1_main_000009,9,9,0.0,PASS
tier1_main_000011,9,3,0.0,PASS
tier1_main_000013,5,5,0.0,PASS
tier1_main_000015,9,3,0.0,PASS
tier1_main_000017,5,9,0.0,PASS
tier1_main_000019,5,9,0.0,PASS
tier1_main_000021,5,5,0.0,PASS
tier1_main_000023,9,9,0.0,PASS
tier1_main_000025,9,3,0.0,PASS
tier1_main_000027,5,3,0.0,PASS
tier1_main_000029,9,5,0.0,PASS
tier1_main_000031,5,5,0.0,PASS
tier1_main_000033,3,9,0.0,PASS
tier1_main_000035,3,1,0.0,PASS
tier1_main_000037,3,9,0.0,PASS
tier1_main_000039,9,5,0.0,PASS
tier1_main_000041,9,9,0.0,PASS
tier1_main_000043,3,5,0.0,PASS
tier1_main_000045,5,5,0.0,PASS
tier1_main_000047,9,9,0.0,PASS
tier1_main_000049,3,9,0.0,PASS
tier1_main_000051,5,9,0.0,PASS
tier1_main_000053,5,5,0.0,PASS
tier1_main_000055,9,9,0.0,PASS
tier1_main_000057,9,9,0.0,PASS
tier1_main_000059,9,9,0.0,PASS
tier1_main_000061,9,9,0.0,PASS
tier1_main_000063,9,5,0.0,PASS
tier1_main_000065,9,5,0.0,PASS
tier1_main_000067,9,5,0.0,PASS
tier1_main_000069,5,9,0.0,PASS
tier1_main_000071,5,5,0.0,PASS
tier1_main_000073,5,5,0.0,PASS
tier1_main_000075,9,5,0.0,PASS
tier1_main_000077,9,9,0.0,PASS
tier1_main_000079,9,5,0.0,PASS
tier1_main_000081,9,9,0.0,PASS
tier1_main_000083,9,3,0.0,PASS
tier1_main_000085,5,9,0.0,PASS
tier1_main_000087,9,5,0.0,PASS
tier1_main_000089,3,3,0.0,PASS
tier1_main_000091,3,9,0.0,PASS
tier1_main_000093,9,9,0.0,PASS
tier1_main_000095,9,9,0.0,PASS
tier1_main_000097,9,3,0.0,PASS
tier1_main_000099,5,9,0.0,PASS
tier1_main_000101,9,5,0.0,PASS
tier1_main_000103,5,9,0.0,PASS
tier1_main_000105,5,9,0.0,PASS
tier1_main_000107,5,5,0.0,PASS
tier1_main_000109,1,9,0.0,PASS
tier1_main_000111,9,5,0.0,PASS
tier1_main_000113,5,9,0.0,PASS
tier1_main_000115,5,9,0.0,PASS
tier1_main_000117,5,5,0.0,PASS
tier1_main_000119,9,9,0.0,PASS
tier1_main_000121,9,5,0.0,PASS
tier1_main_000123,5,5,0.0,PASS
tier1_main_000125,5,5,0.0,PASS
tier1_main_000127,5,9,0.0,PASS
tier1_main_000129,9,9,0.0,PASS
tier1_main_000131,9,5,0.0,PASS
tier1_main_000133,9,5,0.0,PASS
tier1_main_000135,3,9,0.0,PASS
tier1_main_000137,3,9,0.0,PASS
tier1_main_000139,3,5,0.0,PASS
tier1_main_000141,9,9,0.0,PASS
