split_family,layer,world,condition,task,negative_class,positive_class,repeat_n,cross_split_family_pairing_performed,p_values_computed,original_selected_k_mean_n,original_selected_k_mean_mean,original_selected_k_mean_sd,original_selected_k_mean_median,original_selected_k_mean_q1,original_selected_k_mean_q3,original_selected_k_mean_min,original_selected_k_mean_max,adjusted_selected_k_mean_n,adjusted_selected_k_mean_mean,adjusted_selected_k_mean_sd,adjusted_selected_k_mean_median,adjusted_selected_k_mean_q1,adjusted_selected_k_mean_q3,adjusted_selected_k_mean_min,adjusted_selected_k_mean_max,delta_selected_k_mean_adjusted_minus_original_n,delta_selected_k_mean_adjusted_minus_original_mean,delta_selected_k_mean_adjusted_minus_original_sd,delta_selected_k_mean_adjusted_minus_original_median,delta_selected_k_mean_adjusted_minus_original_q1,delta_selected_k_mean_adjusted_minus_original_q3,delta_selected_k_mean_adjusted_minus_original_min,delta_selected_k_mean_adjusted_minus_original_max,direction_sensitive_jaccard_mean_n,direction_sensitive_jaccard_mean_mean,direction_sensitive_jaccard_mean_sd,direction_sensitive_jaccard_mean_median,direction_sensitive_jaccard_mean_q1,direction_sensitive_jaccard_mean_q3,direction_sensitive_jaccard_mean_min,direction_sensitive_jaccard_mean_max,direction_insensitive_jaccard_mean_n,direction_insensitive_jaccard_mean_mean,direction_insensitive_jaccard_mean_sd,direction_insensitive_jaccard_mean_median,direction_insensitive_jaccard_mean_q1,direction_insensitive_jaccard_mean_q3,direction_insensitive_jaccard_mean_min,direction_insensitive_jaccard_mean_max,direction_sensitive_overlap_coefficient_mean_n,direction_sensitive_overlap_coefficient_mean_mean,direction_sensitive_overlap_coefficient_mean_sd,direction_sensitive_overlap_coefficient_mean_median,direction_sensitive_overlap_coefficient_mean_q1,direction_sensitive_overlap_coefficient_mean_q3,direction_sensitive_overlap_coefficient_mean_min,direction_sensitive_overlap_coefficient_mean_max,direction_insensitive_overlap_coefficient_mean_n,direction_insensitive_overlap_coefficient_mean_mean,direction_insensitive_overlap_coefficient_mean_sd,direction_insensitive_overlap_coefficient_mean_median,direction_insensitive_overlap_coefficient_mean_q1,direction_insensitive_overlap_coefficient_mean_q3,direction_insensitive_overlap_coefficient_mean_min,direction_insensitive_overlap_coefficient_mean_max,reversal_rate_among_common_unordered_pairs_n,reversal_rate_among_common_unordered_pairs_mean,reversal_rate_among_common_unordered_pairs_sd,reversal_rate_among_common_unordered_pairs_median,reversal_rate_among_common_unordered_pairs_q1,reversal_rate_among_common_unordered_pairs_q3,reversal_rate_among_common_unordered_pairs_min,reversal_rate_among_common_unordered_pairs_max,original_train_tie_rate_n,original_train_tie_rate_mean,original_train_tie_rate_sd,original_train_tie_rate_median,original_train_tie_rate_q1,original_train_tie_rate_q3,original_train_tie_rate_min,original_train_tie_rate_max,adjusted_train_tie_rate_n,adjusted_train_tie_rate_mean,adjusted_train_tie_rate_sd,adjusted_train_tie_rate_median,adjusted_train_tie_rate_q1,adjusted_train_tie_rate_q3,adjusted_train_tie_rate_min,adjusted_train_tie_rate_max,delta_train_tie_rate_adjusted_minus_original_n,delta_train_tie_rate_adjusted_minus_original_mean,delta_train_tie_rate_adjusted_minus_original_sd,delta_train_tie_rate_adjusted_minus_original_median,delta_train_tie_rate_adjusted_minus_original_q1,delta_train_tie_rate_adjusted_minus_original_q3,delta_train_tie_rate_adjusted_minus_original_min,delta_train_tie_rate_adjusted_minus_original_max,original_test_tie_rate_n,original_test_tie_rate_mean,original_test_tie_rate_sd,original_test_tie_rate_median,original_test_tie_rate_q1,original_test_tie_rate_q3,original_test_tie_rate_min,original_test_tie_rate_max,adjusted_test_tie_rate_n,adjusted_test_tie_rate_mean,adjusted_test_tie_rate_sd,adjusted_test_tie_rate_median,adjusted_test_tie_rate_q1,adjusted_test_tie_rate_q3,adjusted_test_tie_rate_min,adjusted_test_tie_rate_max,delta_test_tie_rate_adjusted_minus_original_n,delta_test_tie_rate_adjusted_minus_original_mean,delta_test_tie_rate_adjusted_minus_original_sd,delta_test_tie_rate_adjusted_minus_original_median,delta_test_tie_rate_adjusted_minus_original_q1,delta_test_tie_rate_adjusted_minus_original_q3,delta_test_tie_rate_adjusted_minus_original_min,delta_test_tie_rate_adjusted_minus_original_max
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,AD_FTD_vs_CN,CN,AD_FTD,20,False,False,20,7.32,1.051114696530858,7.2,6.499999999999999,7.8999999999999995,5.4,9.0,20,7.18,0.8153785042930416,7.0,6.6,7.8,5.8,9.0,20,-0.14,1.3315602245407254,-0.2,-0.8,0.5,-2.8,2.4,20,0.045336480512951104,0.028425269178191936,0.04307783719548425,0.027678571428571427,0.0546582094376212,0.0,0.11725921137685844,20,0.045336480512951104,0.028425269178191936,0.04307783719548425,0.027678571428571427,0.0546582094376212,0.0,0.11725921137685844,20,0.09777777777777777,0.06112652649803847,0.08888888888888888,0.061111111111111116,0.11888888888888888,0.0,0.21777777777777776,20,0.09777777777777777,0.06112652649803847,0.08888888888888888,0.061111111111111116,0.11888888888888888,0.0,0.21777777777777776,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,AD_vs_CN,CN,AD,20,False,False,20,6.32,1.2386750136632627,6.4,5.699999999999999,7.1,4.2,8.2,20,5.78,1.1927853294307669,5.8,5.300000000000001,6.6,3.0,8.2,20,-0.54,1.6480929968651008,-1.2,-1.7000000000000002,0.5,-2.8,2.8,20,0.028267498841028253,0.025091009761603847,0.02287581699346405,0.011538461538461539,0.04264591617532794,0.0,0.08214285714285714,20,0.028267498841028253,0.025091009761603847,0.02287581699346405,0.011538461538461539,0.04264591617532794,0.0,0.08214285714285714,20,0.06711111111111111,0.061039724386798916,0.05333333333333333,0.03,0.0922222222222222,0.0,0.19999999999999998,20,0.06711111111111111,0.061039724386798916,0.05333333333333333,0.03,0.0922222222222222,0.0,0.19999999999999998,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,AD_vs_FTD,FTD,AD,20,False,False,20,7.56,0.9571888665857899,7.6,7.0,8.2,5.4,9.0,20,7.859999999999999,0.9109855854194978,8.2,7.0,8.399999999999999,6.2,9.0,20,0.3,1.2839085063319655,0.4,-0.4,0.9000000000000001,-2.4,2.4,20,0.08240426240426241,0.03193742359571242,0.08358437314319667,0.055384615384615386,0.09705316742081448,0.027149321266968326,0.13982905982905983,20,0.08240426240426241,0.03193742359571242,0.08358437314319667,0.055384615384615386,0.09705316742081448,0.027149321266968326,0.13982905982905983,20,0.166,0.06532410325857303,0.1688888888888889,0.10666666666666666,0.19666666666666666,0.06222222222222222,0.32,20,0.166,0.06532410325857303,0.1688888888888889,0.10666666666666666,0.19666666666666666,0.06222222222222222,0.32,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,CN_vs_FTD,CN,FTD,20,False,False,20,7.08,0.7633720207770671,7.0,6.6,7.8,5.8,8.2,20,6.7,1.444408456591723,7.0,6.1000000000000005,7.8999999999999995,3.8,9.0,20,-0.38,1.581338540271301,-0.2,-1.2999999999999998,0.4,-4.0,2.8,20,0.042659335762276936,0.027123452233397762,0.040192307692307694,0.027149321266968326,0.05483927836869013,0.0,0.10069930069930069,20,0.042659335762276936,0.027123452233397762,0.040192307692307694,0.027149321266968326,0.05483927836869013,0.0,0.10069930069930069,20,0.09577777777777778,0.062029358577499916,0.08666666666666667,0.06222222222222222,0.13,0.0,0.24,20,0.09577777777777778,0.062029358577499916,0.08666666666666667,0.06222222222222222,0.13,0.0,0.24,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds006036__EO_or_photomark,AD_FTD_vs_CN,CN,AD_FTD,20,False,False,20,6.68,1.0748806543298801,6.6,6.1000000000000005,7.500000000000001,4.2,8.2,20,6.06,1.4350499716221146,5.8,4.9,6.699999999999999,4.2,9.0,20,-0.62,1.6592959826067009,-0.6000000000000001,-1.7000000000000002,0.1,-3.2,3.2,20,0.03849990369108016,0.02525357824312645,0.035165569724393254,0.02420814479638009,0.05113636363636364,0.0,0.09510489510489512,20,0.03849990369108016,0.02525357824312645,0.035165569724393254,0.02420814479638009,0.05113636363636364,0.0,0.09510489510489512,20,0.086,0.056130822778193666,0.08,0.056666666666666664,0.10999999999999999,0.0,0.21333333333333332,20,0.086,0.056130822778193666,0.08,0.056666666666666664,0.10999999999999999,0.0,0.21333333333333332,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds006036__EO_or_photomark,AD_vs_CN,CN,AD,20,False,False,20,6.22,1.0008417509907925,5.8,5.4,7.0,5.0,8.2,20,5.68,1.457322707461944,5.8,4.8,6.699999999999999,3.4,8.2,20,-0.54,1.9990524070958695,0.2,-1.8000000000000003,0.8,-3.6,2.8,20,0.01157405339758281,0.018796279918963047,0.0,0.0,0.015384615384615385,0.0,0.07390256802021508,20,0.01157405339758281,0.018796279918963047,0.0,0.0,0.015384615384615385,0.0,0.07390256802021508,20,0.027777777777777776,0.04745094248610888,0.0,0.0,0.04,0.0,0.19555555555555554,20,0.027777777777777776,0.04745094248610888,0.0,0.0,0.04,0.0,0.19555555555555554,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds006036__EO_or_photomark,AD_vs_FTD,FTD,AD,20,False,False,20,6.68,0.9763519641475283,7.0,5.8,7.4,5.0,8.2,20,7.78,0.9752732410646986,8.2,7.4,8.2,5.4,9.0,20,1.1,1.0372027158102752,1.2,0.30000000000000004,2.0,-0.8,3.2,20,0.03390783236371472,0.018139557879311284,0.027149321266968326,0.024632352941176473,0.041277472527472533,0.0,0.07692307692307693,20,0.03390783236371472,0.018139557879311284,0.027149321266968326,0.024632352941176473,0.041277472527472533,0.0,0.07692307692307693,20,0.06955555555555555,0.033142533855415685,0.06222222222222222,0.04444444444444444,0.08888888888888889,0.0,0.12444444444444444,20,0.06955555555555555,0.033142533855415685,0.06222222222222222,0.04444444444444444,0.08888888888888889,0.0,0.12444444444444444,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0006872538764746488,0.0015181371716273474,0.0,0.0,0.0,0.0,0.005172413793103448,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,-0.0006872538764746488,0.0015181371716273474,0.0,0.0,0.0,-0.005172413793103448,0.0,20,0.0005705612205184089,0.0017981553855389838,0.0,0.0,0.0,0.0,0.006896551724137931,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,-0.0005705612205184089,0.0017981553855389838,0.0,0.0,0.0,-0.006896551724137931,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds006036__EO_or_photomark,CN_vs_FTD,CN,FTD,20,False,False,20,7.2,0.8258966419340222,7.0,6.6,7.8,5.8,9.0,20,6.52,1.1283896303559053,6.4,5.8,7.0,4.2,9.0,20,-0.6799999999999999,1.291918198485859,-0.8,-1.6,0.5,-2.8,1.2,20,0.05233338230397054,0.02586162414238531,0.049358974358974364,0.041577540106951874,0.06213786213786214,0.0,0.11398692810457517,20,0.05233338230397054,0.02586162414238531,0.049358974358974364,0.041577540106951874,0.06213786213786214,0.0,0.11398692810457517,20,0.12422222222222222,0.06099840750379226,0.1111111111111111,0.08888888888888888,0.16,0.0,0.2622222222222222,20,0.12422222222222222,0.06099840750379226,0.1111111111111111,0.08888888888888888,0.16,0.0,0.2622222222222222,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,RAW_DECILES,ds004504__EC,AD_FTD_vs_CN,CN,AD_FTD,20,False,False,20,6.14,1.3751172198838368,6.0,5.4,7.0,3.0,9.0,20,7.4399999999999995,0.8094182446281044,7.4,7.0,8.2,5.8,9.0,20,1.3,1.6613247725836149,1.2,0.0,2.1,-1.6,6.0,20,0.03918607046548223,0.024182330922943585,0.033776680835504364,0.01748251748251748,0.059970397249809015,0.011764705882352941,0.08571428571428572,20,0.03918607046548223,0.024182330922943585,0.033776680835504364,0.01748251748251748,0.059970397249809015,0.011764705882352941,0.08571428571428572,20,0.09,0.04749474168083699,0.08666666666666667,0.04333333333333333,0.13333333333333333,0.02222222222222222,0.17333333333333334,20,0.09,0.04749474168083699,0.08666666666666667,0.04333333333333333,0.13333333333333333,0.02222222222222222,0.17333333333333334,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,RAW_DECILES,ds004504__EC,AD_vs_CN,CN,AD,20,False,False,20,6.4799999999999995,0.9720298890791157,6.6,5.8,7.1,4.6,8.2,20,6.92,0.967688510126879,7.0,6.1000000000000005,7.500000000000001,5.0,8.2,20,0.44,1.303598259070881,0.8,-0.2,1.2,-2.4,2.4,20,0.03543430262547909,0.025238725316156885,0.03344988344988345,0.01748251748251748,0.049038461538461545,0.0,0.0879120879120879,20,0.03543430262547909,0.025238725316156885,0.03344988344988345,0.01748251748251748,0.049038461538461545,0.0,0.0879120879120879,20,0.07577777777777778,0.04964801381881602,0.08,0.04333333333333333,0.10999999999999999,0.0,0.1688888888888889,20,0.07577777777777778,0.04964801381881602,0.08,0.04333333333333333,0.10999999999999999,0.0,0.1688888888888889,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
