split_family,layer,world,condition,task,repeat_id,negative_class,positive_class,oof_subject_n,outer_fold_n,original_accuracy,adjusted_accuracy,delta_accuracy_adjusted_minus_original,original_balanced_accuracy,adjusted_balanced_accuracy,delta_balanced_accuracy_adjusted_minus_original,original_macro_f1,adjusted_macro_f1,delta_macro_f1_adjusted_minus_original,original_mcc,adjusted_mcc,delta_mcc_adjusted_minus_original,original_precision_negative,adjusted_precision_negative,delta_precision_negative_adjusted_minus_original,original_recall_negative,adjusted_recall_negative,delta_recall_negative_adjusted_minus_original,original_f1_negative,adjusted_f1_negative,delta_f1_negative_adjusted_minus_original,original_support_negative,adjusted_support_negative,delta_support_negative_adjusted_minus_original,original_precision_positive,adjusted_precision_positive,delta_precision_positive_adjusted_minus_original,original_recall_positive,adjusted_recall_positive,delta_recall_positive_adjusted_minus_original,original_f1_positive,adjusted_f1_positive,delta_f1_positive_adjusted_minus_original,original_support_positive,adjusted_support_positive,delta_support_positive_adjusted_minus_original,original_tp,adjusted_tp,delta_tp_adjusted_minus_original,original_tn,adjusted_tn,delta_tn_adjusted_minus_original,original_fp,adjusted_fp,delta_fp_adjusted_minus_original,original_fn,adjusted_fn,delta_fn_adjusted_minus_original,prediction_changed_n,prediction_changed_proportion,correct_to_incorrect_n,correct_to_incorrect_proportion,incorrect_to_correct_n,incorrect_to_correct_proportion,net_correct_change_n
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,AD_FTD_vs_CN,1,CN,AD_FTD,88,5,0.7159090909090909,0.7272727272727273,0.011363636363636354,0.6917007597895968,0.7440093512565751,0.052308591466978305,0.6863863150392018,0.7153638814016174,0.028977566362415663,0.37463627959503853,0.4598546828286065,0.08521840323356794,0.5625,0.5609756097560976,-0.0015243902439023849,0.6206896551724138,0.7931034482758621,0.1724137931034483,0.5901639344262296,0.6571428571428573,0.06697892271662764,29,29,0.0,0.8035714285714286,0.8723404255319149,0.06876899696048633,0.7627118644067796,0.6949152542372882,-0.06779661016949146,0.782608695652174,0.7735849056603775,-0.009023789991796427,59,59,0.0,45,41,-4.0,18,23,5.0,11,6,-5.0,14,18,4.0,19,0.2159090909090909,9,0.10227272727272728,10,0.11363636363636363,1
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,AD_FTD_vs_CN,2,CN,AD_FTD,88,5,0.8181818181818182,0.7613636363636364,-0.05681818181818188,0.7767387492694331,0.7518994739918177,-0.024839275277615425,0.7862780813600486,0.7404129793510326,-0.04586510200901606,0.5768789541081325,0.48634664312372905,-0.09053231098440345,0.76,0.6176470588235294,-0.14235294117647057,0.6551724137931034,0.7241379310344828,0.06896551724137934,0.7037037037037037,0.6666666666666667,-0.03703703703703698,29,29,0.0,0.8412698412698413,0.8518518518518519,0.010582010582010581,0.8983050847457628,0.7796610169491526,-0.11864406779661019,0.8688524590163935,0.8141592920353983,-0.054693166980995245,59,59,0.0,53,46,-7.0,19,21,2.0,10,8,-2.0,6,13,7.0,11,0.125,8,0.09090909090909091,3,0.03409090909090909,-5
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,AD_FTD_vs_CN,3,CN,AD_FTD,88,5,0.75,0.75,0.0,0.717124488603156,0.7346580946814729,0.017533606078316888,0.7171244886031561,0.726089417091115,0.008964928487958823,0.4342489772063121,0.4556718770522639,0.021422899845951804,0.6206896551724138,0.6060606060606061,-0.014629049111807735,0.6206896551724138,0.6896551724137931,0.06896551724137934,0.6206896551724138,0.6451612903225807,0.024471635150166926,29,29,0.0,0.8135593220338984,0.8363636363636363,0.02280431432973795,0.8135593220338984,0.7796610169491526,-0.03389830508474578,0.8135593220338985,0.8070175438596492,-0.00654177817424928,59,59,0.0,48,46,-2.0,18,20,2.0,11,9,-2.0,11,13,2.0,12,0.13636363636363635,6,0.06818181818181818,6,0.06818181818181818,0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,AD_FTD_vs_CN,4,CN,AD_FTD,88,5,0.7727272727272727,0.7613636363636364,-0.011363636363636354,0.7340736411455289,0.7431326709526593,0.00905902980713047,0.7380952380952381,0.7365645046329294,-0.0015307334623086977,0.4771563543215385,0.47514845216931717,-0.0020079021522213525,0.6666666666666666,0.625,-0.04166666666666663,0.6206896551724138,0.6896551724137931,0.06896551724137934,0.6428571428571429,0.6557377049180328,0.012880562060889944,29,29,0.0,0.819672131147541,0.8392857142857143,0.019613583138173296,0.847457627118644,0.7966101694915254,-0.05084745762711862,0.8333333333333333,0.8173913043478261,-0.015942028985507117,59,59,0.0,50,47,-3.0,18,20,2.0,11,9,-2.0,9,12,3.0,11,0.125,6,0.06818181818181818,5,0.056818181818181816,-1
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,AD_FTD_vs_CN,5,CN,AD_FTD,88,5,0.7272727272727273,0.6704545454545454,-0.05681818181818188,0.6914085330216247,0.657802454704851,-0.03360607831677376,0.6914085330216247,0.6462924462924462,-0.04511608672917855,0.38281706604324955,0.3017281520082889,-0.08108891403496066,0.5862068965517241,0.5,-0.08620689655172409,0.5862068965517241,0.6206896551724138,0.034482758620689724,0.5862068965517241,0.5538461538461539,-0.03236074270557021,29,29,0.0,0.7966101694915254,0.7884615384615384,-0.008148631029986975,0.7966101694915254,0.6949152542372882,-0.10169491525423724,0.7966101694915254,0.7387387387387386,-0.05787143075278678,59,59,0.0,47,41,-6.0,17,18,1.0,12,11,-1.0,12,18,6.0,11,0.125,8,0.09090909090909091,3,0.03409090909090909,-5
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,AD_FTD_vs_CN,6,CN,AD_FTD,88,5,0.8181818181818182,0.7613636363636364,-0.05681818181818188,0.7767387492694331,0.7518994739918177,-0.024839275277615425,0.7862780813600486,0.7404129793510326,-0.04586510200901606,0.5768789541081325,0.48634664312372905,-0.09053231098440345,0.76,0.6176470588235294,-0.14235294117647057,0.6551724137931034,0.7241379310344828,0.06896551724137934,0.7037037037037037,0.6666666666666667,-0.03703703703703698,29,29,0.0,0.8412698412698413,0.8518518518518519,0.010582010582010581,0.8983050847457628,0.7796610169491526,-0.11864406779661019,0.8688524590163935,0.8141592920353983,-0.054693166980995245,59,59,0.0,53,46,-7.0,19,21,2.0,10,8,-2.0,6,13,7.0,13,0.14772727272727273,9,0.10227272727272728,4,0.045454545454545456,-5
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,AD_FTD_vs_CN,7,CN,AD_FTD,88,5,0.6931818181818182,0.7272727272727273,0.03409090909090906,0.7185856224430158,0.7352425482174167,0.01665692577440092,0.6840005319856364,0.7124183006535947,0.02841776866795831,0.41098305547526526,0.4451850094481889,0.03420195397292364,0.5227272727272727,0.5641025641025641,0.04137529137529139,0.7931034482758621,0.7586206896551724,-0.034482758620689724,0.6301369863013699,0.6470588235294118,0.01692183722804186,29,29,0.0,0.8636363636363636,0.8571428571428571,-0.006493506493506551,0.6440677966101694,0.711864406779661,0.06779661016949157,0.7378640776699029,0.7777777777777777,0.03991370010787476,59,59,0.0,38,42,4.0,23,22,-1.0,6,7,1.0,21,17,-4.0,13,0.14772727272727273,5,0.056818181818181816,8,0.09090909090909091,3
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,AD_FTD_vs_CN,8,CN,AD_FTD,88,5,0.6477272727272727,0.7045454545454546,0.05681818181818188,0.6320864991233197,0.7358270017533606,0.10374050263004087,0.621898821898822,0.6968733439321675,0.07497452203334554,0.25255763834767886,0.4435147270276377,0.19095708867995886,0.4722222222222222,0.5333333333333333,0.061111111111111116,0.5862068965517241,0.8275862068965517,0.24137931034482762,0.523076923076923,0.6486486486486487,0.1255717255717257,29,29,0.0,0.7692307692307693,0.8837209302325582,0.11449016100178888,0.6779661016949152,0.6440677966101694,-0.03389830508474578,0.7207207207207208,0.7450980392156863,0.024377318494965494,59,59,0.0,40,38,-2.0,17,24,7.0,12,5,-7.0,19,21,2.0,13,0.14772727272727273,4,0.045454545454545456,9,0.10227272727272728,5
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,AD_FTD_vs_CN,9,CN,AD_FTD,88,5,0.75,0.7386363636363636,-0.011363636363636354,0.7521917007597896,0.7349503214494448,-0.01724137931034475,0.7333333333333334,0.7194733194733196,-0.013860013860013787,0.480285904249292,0.449239692990119,-0.031046211259173007,0.5945945945945946,0.5833333333333334,-0.011261261261261257,0.7586206896551724,0.7241379310344828,-0.03448275862068961,0.6666666666666667,0.6461538461538462,-0.02051282051282055,29,29,0.0,0.8627450980392157,0.8461538461538461,-0.016591251885369585,0.7457627118644068,0.7457627118644068,0.0,0.8,0.7927927927927929,-0.007207207207207134,59,59,0.0,44,44,0.0,22,21,-1.0,7,8,1.0,15,15,0.0,13,0.14772727272727273,7,0.07954545454545454,6,0.06818181818181818,-1
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,AD_FTD_vs_CN,10,CN,AD_FTD,88,5,0.6931818181818182,0.7613636363636364,0.06818181818181812,0.7010520163646989,0.7518994739918177,0.05084745762711873,0.6781796017878912,0.7404129793510326,0.0622333775631414,0.37958830118261144,0.48634664312372905,0.10675834194111761,0.525,0.6176470588235294,0.09264705882352942,0.7241379310344828,0.7241379310344828,0.0,0.6086956521739131,0.6666666666666667,0.05797101449275366,29,29,0.0,0.8333333333333334,0.8518518518518519,0.01851851851851849,0.6779661016949152,0.7796610169491526,0.10169491525423735,0.7476635514018691,0.8141592920353983,0.06649574063352914,59,59,0.0,40,46,6.0,21,21,0.0,8,8,0.0,19,13,-6.0,18,0.20454545454545456,6,0.06818181818181818,12,0.13636363636363635,6
