split_family,layer,world,condition,task,repeat_id,negative_class,positive_class,outer_fold_n,original_selected_k_by_fold,adjusted_selected_k_by_fold,original_selected_k_mean,adjusted_selected_k_mean,delta_selected_k_mean_adjusted_minus_original,direction_sensitive_jaccard_mean,direction_insensitive_jaccard_mean,direction_sensitive_overlap_coefficient_mean,direction_insensitive_overlap_coefficient_mean,common_unordered_pair_n,reversed_common_pair_n,reversal_rate_among_common_unordered_pairs,original_train_relation_vote_n,original_train_tie_vote_n,original_train_tie_rate,original_test_relation_vote_n,original_test_tie_vote_n,original_test_tie_rate,adjusted_train_relation_vote_n,adjusted_train_tie_vote_n,adjusted_train_tie_rate,adjusted_test_relation_vote_n,adjusted_test_tie_vote_n,adjusted_test_tie_rate,delta_test_tie_rate_adjusted_minus_original,delta_train_tie_rate_adjusted_minus_original
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,AD_FTD_vs_CN,1,CN,AD_FTD,5,9|9|9|9|5,9|3|9|9|9,8.2,7.8,-0.4,0.04171122994652406,0.04171122994652406,0.1111111111111111,0.1111111111111111,3,0,0.0,2880,0,0.0,728,0,0.0,2748,0,0.0,684,0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,AD_FTD_vs_CN,2,CN,AD_FTD,5,9|5|9|5|3,3|9|5|9|9,6.2,7.0,0.8,0.03333333333333333,0.03333333333333333,0.08,0.08,2,0,0.0,2176,0,0.0,552,0,0.0,2468,0,0.0,612,0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,AD_FTD_vs_CN,3,CN,AD_FTD,5,9|9|9|9|9,3|9|5|9|9,9.0,7.0,-2.0,0.03676470588235294,0.03676470588235294,0.06666666666666667,0.06666666666666667,3,0,0.0,3168,0,0.0,792,0,0.0,2468,0,0.0,612,0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,AD_FTD_vs_CN,4,CN,AD_FTD,5,9|5|9|9|9,3|9|9|9|9,8.2,7.8,-0.4,0.045098039215686274,0.045098039215686274,0.10222222222222223,0.10222222222222223,3,0,0.0,2888,0,0.0,720,0,0.0,2748,0,0.0,684,0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,AD_FTD_vs_CN,5,CN,AD_FTD,5,9|9|9|9|9,3|9|5|9|5,9.0,6.2,-2.8,0.07676470588235294,0.07676470588235294,0.19999999999999998,0.19999999999999998,5,0,0.0,3168,0,0.0,792,0,0.0,2180,0,0.0,548,0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,AD_FTD_vs_CN,6,CN,AD_FTD,5,9|9|9|3|5,3|9|5|5|9,7.0,6.2,-0.8,0.08,0.08,0.16,0.16,4,0,0.0,2460,0,0.0,620,0,0.0,2188,0,0.0,540,0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,AD_FTD_vs_CN,7,CN,AD_FTD,5,5|3|5|9|9,5|5|5|9|5,6.2,5.8,-0.4,0.0,0.0,0.0,0.0,0,0,,2188,0,0.0,540,0,0.0,2040,0,0.0,512,0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,AD_FTD_vs_CN,8,CN,AD_FTD,5,9|9|5|5|9,9|9|9|3|3,7.4,6.6,-0.8,0.023529411764705882,0.023529411764705882,0.04444444444444444,0.04444444444444444,2,0,0.0,2608,0,0.0,648,0,0.0,2316,0,0.0,588,0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,AD_FTD_vs_CN,9,CN,AD_FTD,5,9|9|3|9|9,9|9|9|3|5,7.8,7.0,-0.8,0.029946524064171122,0.029946524064171122,0.08888888888888888,0.08888888888888888,2,0,0.0,2748,0,0.0,684,0,0.0,2460,0,0.0,620,0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,AD_FTD_vs_CN,10,CN,AD_FTD,5,9|3|9|9|5,9|5|9|9|9,7.0,8.2,1.2,0.11725921137685844,0.11725921137685844,0.2,0.2,7,0,0.0,2460,0,0.0,620,0,0.0,2888,0,0.0,720,0,0.0,0.0,0.0
